Folder,Base,Mixed,BaseValue,MixedValue,Difference
10304_results,LHS,LHS+ODAL,76,69,-7
10304_results,LHS,LHS+K-Center,76,68,-8
10304_results,K-Means,K-Means+Top5Similarity,100,76,-24
10304_results,K-Means,K-Means+Max Comp,100,84,-16
10304_results,K-Means,K-Means+Min Comp,100,68,-32
10304_results,K-Means,K-Means+Centroids_saturation_high,100,77,-23
10304_results,K-Means,K-Means+Centroids_saturation_medium,100,75,-25
10304_results,K-Means,K-Means+Centroids_saturation_low,100,73,-27
10304_results,K-Means,K-Means+Random,100,75,-25
10304_results,K-Means,K-Means+LHS,100,70,-30
10304_results,K-Means,K-Means+Farthest,100,80,-20
10304_results,K-Means,K-Means+ODAL,100,72,-28
10304_results,K-Means,K-Means+K-Center,100,59,-41
10304_results,Farthest,Farthest+Top5Similarity,83,76,-7
10304_results,Farthest,Farthest+Max Comp,83,75,-8
10304_results,Farthest,Farthest+Min Comp,83,70,-13
10304_results,Farthest,Farthest+Centroids_saturation_high,83,78,-5
10304_results,Farthest,Farthest+Centroids_saturation_medium,83,72,-11
10304_results,Farthest,Farthest+Centroids_saturation_low,83,68,-15
10304_results,Farthest,Farthest+Random,83,76,-7
10304_results,Farthest,Farthest+LHS,83,71,-12
10304_results,Farthest,Farthest+K-Means,83,80,-3
10304_results,Farthest,Farthest+ODAL,83,74,-9
10304_results,Farthest,Farthest+K-Center,83,85,2
10304_results,ODAL,ODAL+Top5Similarity,100,100,0
10304_results,ODAL,ODAL+Max Comp,100,70,-30
10304_results,ODAL,ODAL+Min Comp,100,69,-31
10304_results,ODAL,ODAL+Centroids_saturation_high,100,72,-28
10304_results,ODAL,ODAL+Centroids_saturation_medium,100,73,-27
10304_results,ODAL,ODAL+Centroids_saturation_low,100,67,-33
10304_results,ODAL,ODAL+Random,100,66,-34
10304_results,ODAL,ODAL+LHS,100,69,-31
10304_results,ODAL,ODAL+K-Means,100,72,-28
10304_results,ODAL,ODAL+Farthest,100,74,-26
10304_results,ODAL,ODAL+K-Center,100,61,-39
10304_results,K-Center,K-Center+Top5Similarity,100,71,-29
10304_results,K-Center,K-Center+Max Comp,100,100,0
10304_results,K-Center,K-Center+Min Comp,100,76,-24
10304_results,K-Center,K-Center+Centroids_saturation_high,100,58,-42
10304_results,K-Center,K-Center+Centroids_saturation_medium,100,91,-9
10304_results,K-Center,K-Center+Centroids_saturation_low,100,70,-30
10304_results,K-Center,K-Center+Random,100,73,-27
10304_results,K-Center,K-Center+LHS,100,68,-32
10304_results,K-Center,K-Center+K-Means,100,59,-41
10304_results,K-Center,K-Center+Farthest,100,86,-14
10304_results,K-Center,K-Center+ODAL,100,61,-39
10311_results,Top5Similarity,Top5Similarity+Max Comp,100,37,-63
10311_results,Top5Similarity,Top5Similarity+Min Comp,100,33,-67
10311_results,Top5Similarity,Top5Similarity+Centroids_saturation_high,100,79,-21
10311_results,Top5Similarity,Top5Similarity+Centroids_saturation_medium,100,62,-38
10311_results,Top5Similarity,Top5Similarity+Centroids_saturation_low,100,76,-24
10311_results,Top5Similarity,Top5Similarity+Random,100,89,-11
10311_results,Top5Similarity,Top5Similarity+LHS,100,79,-21
10311_results,Top5Similarity,Top5Similarity+K-Means,100,100,0
10311_results,Top5Similarity,Top5Similarity+Farthest,100,55,-45
10311_results,Top5Similarity,Top5Similarity+ODAL,100,47,-53
10311_results,Top5Similarity,Top5Similarity+K-Center,100,43,-57
10311_results,Max Comp,Max Comp+Top5Similarity,36,37,1
10311_results,Max Comp,Max Comp+Min Comp,36,40,4
10311_results,Max Comp,Max Comp+Centroids_saturation_high,36,72,36
10311_results,Max Comp,Max Comp+Centroids_saturation_medium,36,49,13
10311_results,Max Comp,Max Comp+Centroids_saturation_low,36,51,15
10311_results,Max Comp,Max Comp+Random,36,47,11
10311_results,Max Comp,Max Comp+LHS,36,61,25
10311_results,Max Comp,Max Comp+K-Means,36,59,23
10311_results,Max Comp,Max Comp+Farthest,36,46,10
10311_results,Max Comp,Max Comp+ODAL,36,43,7
10311_results,Max Comp,Max Comp+K-Center,36,52,16
10311_results,Min Comp,Min Comp+Top5Similarity,92,33,-59
10311_results,Min Comp,Min Comp+Max Comp,92,40,-52
