ID,x,y,Au,Cu,Pd,Pt,Resistance
124,-9000.0,-9000.0,0.31623162316231623,0.13321332133213323,0.30363036303630364,0.24692469246924695,1.0164727333333332
125,-4500.0,-9000.0,0.289,0.1491,0.3272,0.2347,1.0132222666666668
126,0.0,-9000.0,0.26777322267773224,0.1633836616338366,0.34026597340265974,0.22857714228577142,1.0083399666666666
127,4500.0,-9000.0,0.23379999999999998,0.17149999999999999,0.37670000000000003,0.218,1.003662533333333
128,9000.0,-9000.0,0.22077792220777923,0.17298270172982705,0.39546045395460455,0.21077892210778923,0.9973738733333334
129,13500.0,-9000.0,0.20079999999999998,0.185,0.41450000000000004,0.1997,0.99139079
130,18000.0,-9000.0,0.1744,0.1907,0.439,0.1959,0.9823896833333332
131,22500.0,-9000.0,0.16419999999999998,0.208,0.4477,0.18009999999999998,0.9719764833333334
132,27000.0,-9000.0,0.1451,0.2102,0.473,0.17170000000000002,0.9625375366666666
133,31500.0,-9000.0,0.1288,0.2191,0.49,0.16210000000000002,0.9513573133333334
134,36000.0,-9000.0,0.12349999999999998,0.21669999999999998,0.5105999999999999,0.14919999999999997,0.94013215
135,40500.0,-9000.0,0.1057,0.2322,0.5228,0.1393,0.9299858266666666
136,45000.0,-9000.0,0.09630963096309632,0.23692369236923694,0.5351535153515352,0.13161316131613163,0.9394491533333332
137,-45000.0,-4500.0,0.4495,0.0922,0.15960000000000002,0.2987,1.0841388666666667
138,-40500.0,-4500.0,0.41700000000000004,0.1039,0.1808,0.2983,1.0703425333333334
139,-36000.0,-4500.0,0.40240000000000004,0.1119,0.18359999999999999,0.30210000000000004,1.062480366666667
140,-31500.0,-4500.0,0.3878612138786121,0.10138986101389862,0.2065793420657934,0.30416958304169583,1.0565514333333332
141,-27000.0,-4500.0,0.3632,0.1201,0.2194,0.2973,1.0501039
142,-22500.0,-4500.0,0.3491650834916508,0.13058694130586943,0.23547645235476453,0.28477152284771523,1.0449184
143,-18000.0,-4500.0,0.3221,0.1371,0.2569,0.2839,1.0397162
144,-13500.0,-4500.0,0.3044,0.1437,0.2752,0.2767,1.0361908666666666
145,-9000.0,-4500.0,0.2875,0.15,0.2914,0.2711,1.031701566666667
146,-4500.0,-4500.0,0.2633,0.159,0.3184,0.2593,1.0258102333333334
147,0.0,-4500.0,0.24199999999999997,0.1726,0.33059999999999995,0.25479999999999997,1.021400833333333
148,4500.0,-4500.0,0.223022302230223,0.1771177117711771,0.3575357535753575,0.2423242324232423,1.0154923
