ID,x,y,Au,Pd,Pt,Rh,Ru,Resistance
142,-22500,-4500,0.18248175182481755,0.15598440155984403,0.17228277172282774,0.31496850314968505,0.17428257174282574,0.89485746
143,-18000,-4500,0.19829999999999995,0.1669,0.1712,0.291,0.1726,0.89515626
144,-13500,-4500,0.21599999999999997,0.17019999999999996,0.16369999999999998,0.27249999999999996,0.17759999999999998,0.89685969
145,-9000,-4500,0.2391,0.1795,0.1609,0.2477,0.1728,0.9006376033333333
146,-4500,-4500,0.24667533246675333,0.19778022197780223,0.1473852614738526,0.2308769123087691,0.1772822717728227,0.8994475033333333
147,0,-4500,0.2687268726872687,0.2031203120312031,0.1405140514051405,0.21622162216221621,0.1714171417141714,0.8981771166666667
148,4500,-4500,0.28757124287571245,0.20917908209179084,0.1351864813518648,0.196980301969803,0.1710828917108289,0.8983003766666666
149,9000,-4500,0.3028,0.22920000000000001,0.1295,0.1674,0.1711,0.8993148066666666
150,13500,-4500,0.3208,0.2401,0.11630000000000001,0.1527,0.17010000000000003,0.89933991
151,18000,-4500,0.3333333333333333,0.24302430243024303,0.11601160116011601,0.14641464146414643,0.16121612161216123,0.8989768333333333
152,22500,-4500,0.3402340234023402,0.25662566256625663,0.10021002100210019,0.1397139713971397,0.1632163216321632,0.8992293166666666
153,27000,-4500,0.3593,0.2733,0.09630000000000001,0.11410000000000001,0.157,0.8985849600000001
154,31500,-4500,0.37329999999999997,0.2799,0.0882,0.1065,0.1521,0.8958102
155,36000,-4500,0.3786,0.28550000000000003,0.08779999999999999,0.0962,0.1519,0.8959756433333333
156,40500,-4500,0.3969,0.3062,0.0737,0.085,0.1382,0.8981332299999999
157,45000,-4500,0.3991,0.3098000000000001,0.06380000000000001,0.08850000000000001,0.13880000000000003,0.9090511366666668
158,-45000,0,0.12179999999999999,0.1118,0.2118,0.4078,0.14679999999999999,0.9083553566666668
159,-40500,0,0.129,0.11599999999999999,0.203,0.392,0.16,0.90192398
160,-36000,0,0.1501,0.1275,0.2021,0.3617,0.1586,0.8959918099999999
161,-31500,0,0.1549,0.1373,0.2059,0.3442,0.1577,0.8951476066666667
162,-27000,0,0.1721827817218278,0.151984801519848,0.195980401959804,0.3140685931406859,0.1657834216578342,0.8961432433333333
163,-22500,0,0.17918208179182082,0.1674832516748325,0.194980501949805,0.2966703329667033,0.16168383161683833,0.8946080833333333
164,-18000,0,0.19671967196719672,0.1734173417341734,0.1859185918591859,0.2788278827882788,0.16511651165116512,0.8935270000000001
165,-13500,0,0.2144,0.1791,0.1814,0.2614,0.1637,0.89581278
166,-9000,0,0.2353235323532353,0.1884188418841884,0.17421742174217422,0.23702370237023698,0.16501650165016502,0.8970907933333333
