ID,x,y,Ag,Au,Cu,Pd,Pt,Resistance
222,-40500,13500,0.4008,0.2187,0.12279999999999999,0.0756,0.1821,0.5606498833333333
223,-36000,13500,0.3845,0.21239999999999998,0.133,0.0836,0.1865,0.5830963400000001
224,-31500,13500,0.366,0.2039,0.1393,0.1023,0.1885,0.6067275766666668
225,-27000,13500,0.3436,0.2002,0.15460000000000002,0.1081,0.1935,0.6298998933333333
226,-22500,13500,0.32549999999999996,0.1963,0.16920000000000002,0.10949999999999999,0.19949999999999998,0.6532286733333333
227,-18000,13500,0.3063,0.1866,0.1796,0.1305,0.19699999999999998,0.67769427
228,-13500,13500,0.27770000000000006,0.1763,0.20060000000000003,0.14600000000000002,0.19940000000000005,0.7006505166666667
229,-9000,13500,0.2643,0.1684,0.21739999999999998,0.1543,0.1956,0.72331004
230,-4500,13500,0.2402,0.1588,0.2352,0.1722,0.1936,0.7448537166666667
231,0,13500,0.2241,0.1491,0.2465,0.19,0.19030000000000002,0.76422324
232,4500,13500,0.20579999999999998,0.136,0.2683,0.2021,0.18780000000000002,0.78326337
233,9000,13500,0.1865,0.1333,0.2787,0.2192,0.18230000000000002,0.7986256199999999
234,13500,13500,0.16670000000000001,0.12179999999999999,0.2958,0.23800000000000002,0.1777,0.8119934933333333
235,18000,13500,0.1542845715428457,0.11378862113788621,0.30346965303469653,0.25547445255474455,0.17298270172982702,0.8223762466666666
236,22500,13500,0.14,0.10490000000000001,0.3195,0.27,0.1656,0.8292626166666667
237,27000,13500,0.12011201120112011,0.09400940094009402,0.33783378337833786,0.28852885288528857,0.15951595159515952,0.8343995733333334
238,31500,13500,0.1134113411341134,0.089008900890089,0.345034503450345,0.3027302730273027,0.1498149814981498,0.8358294966666667
239,36000,13500,0.1052894710528947,0.0796920307969203,0.36496350364963503,0.3110688931106889,0.138986101389861,0.8355264066666667
240,40500,13500,0.09670967096709673,0.07370737073707372,0.372937293729373,0.32873287328732875,0.12791279127912794,0.8336450200000001
241,45000,13500,0.08299170082991703,0.0654934506549345,0.38456154384561547,0.34536546345365465,0.12158784121587843,0.8717735166666666
242,-40500,18000,0.4042,0.1981,0.1241,0.078,0.1956,0.5917519733333333
243,-36000,18000,0.39049999999999996,0.1989,0.12560000000000002,0.0825,0.2025,0.6142675433333333
244,-31500,18000,0.3701,0.1916,0.14279999999999998,0.0922,0.20329999999999998,0.6377516533333334
245,-27000,18000,0.34490000000000004,0.1856,0.1656,0.09939999999999999,0.2045,0.66112609
246,-22500,18000,0.32039999999999996,0.17959999999999998,0.17699999999999996,0.11569999999999998,0.20729999999999998,0.6830885066666668
247,-18000,18000,0.29969999999999997,0.17059999999999997,0.1931,0.1244,0.2122,0.7064408933333334
248,-13500,18000,0.2876,0.1624,0.20379999999999998,0.133,0.2132,0.7278886733333334
249,-9000,18000,0.2616,0.1572,0.2237,0.14880000000000002,0.2087,0.7492913766666667
250,-4500,18000,0.2426,0.14980000000000002,0.23579999999999998,0.1653,0.2065,0.7691940833333334
251,0,18000,0.21852185218521855,0.1424142414241424,0.255025502550255,0.17991799179917992,0.20412041204120412,0.7868458266666667
252,4500,18000,0.19988001199880012,0.13298670132986704,0.27497250274972507,0.19318068193180685,0.198980101989801,0.8040336633333334
253,9000,18000,0.18,0.1216,0.2887,0.2126,0.1971,0.8179977666666667
254,13500,18000,0.1628,0.1134,0.3074,0.23199999999999998,0.1844,0.8292338666666667
255,18000,18000,0.153,0.1027,0.3232,0.2365,0.18460000000000001,0.8380714366666666
256,22500,18000,0.1408,0.09789999999999999,0.3267,0.2593,0.1753,0.8434312566666667
257,27000,18000,0.12380000000000001,0.091,0.3489,0.27,0.1663,0.8461346433333333
258,31500,18000,0.10949999999999999,0.0809,0.361,0.2889,0.1597,0.84699844
