ID,x,y,Ru,Rh,Pd,Ir,Pt,Resistance
154,31500,-4500,0.08158222,0.124353481,0.186134191,0.293854403,0.105344031,0.60380044
155,36000,-4500,0.078654174,0.103854055,0.186326392,0.296289508,0.099272258,0.612573663
156,40500,-4500,0.068760536,0.096856239,0.19740928,0.296483601,0.079111584,0.622303053
157,45000,-4500,0.052874894,0.076454238,0.192207384,0.313676734,0.080026866,0.639776157
158,-45000,0,0.57758811,0.625413877,0.119564418,0.174747995,0.34213818,0.523183367
159,-40500,0,0.519877676,0.543662929,0.137614679,0.166496772,0.331294597,0.52316079
160,-36000,0,0.453814881,0.513693234,0.124483943,0.171756327,0.313573477,0.52464429
161,-31500,0,0.425237633,0.448780201,0.120655661,0.17951208,0.29869633,0.526864743
162,-27000,0,0.37225136,0.417917883,0.135615737,0.178514593,0.278150644,0.529974807
163,-22500,0,0.324375024,0.377786173,0.139390071,0.190195797,0.269661165,0.534554617
164,-18000,0,0.299029078,0.355635406,0.13167124,0.193199857,0.249806185,0.539032623
165,-13500,0,0.273691811,0.3063019,0.146745397,0.206142343,0.231764555,0.542708947
166,-9000,0,0.245678493,0.284411589,0.149399084,0.209158717,0.218011996,0.54776398
167,-4500,0,0.221374207,0.250890768,0.143366153,0.224536695,0.213995067,0.55283114
168,0,0,0.185179594,0.241538601,0.162032145,0.223423206,0.194237292,0.558561443
169,4500,0,0.168346929,0.210674157,0.161613052,0.237609666,0.184700631,0.563580157
