ID,x,y,Ag,Au,Pd,Pt,Resistance
251,0,18000,0.2693,0.1791,0.20620000000000002,0.3454,0.908839293
252,4500,18000,0.25329999999999997,0.1697,0.22579999999999997,0.35119999999999996,0.933460667
253,9000,18000,0.2371237123712371,0.1643164316431643,0.2514251425142514,0.3471347134713471,0.953426117
254,13500,18000,0.2291,0.155,0.2751,0.3408,0.97030749
255,18000,18000,0.2057,0.1505,0.307,0.3368,0.981891603
256,22500,18000,0.1886,0.1406,0.3323,0.3385,0.989044557
257,27000,18000,0.1782,0.1211,0.3685,0.3322,0.99242878
258,31500,18000,0.1675,0.12140000000000001,0.3932,0.3179,0.99207741
259,36000,18000,0.1509150915091509,0.1149114911491149,0.4254425442544254,0.30873087308730873,0.987997597
260,40500,18000,0.13758624137586242,0.11288871112888711,0.4585541445855415,0.29097090290970906,0.983288617
261,-40500,22500,0.4245999999999999,0.20409999999999998,0.06259999999999999,0.3087,0.637316767
262,-36000,22500,0.41375862413758624,0.20437956204379562,0.07579242075792421,0.3060693930606939,0.66951545
263,-31500,22500,0.3929392939293929,0.2027202720272027,0.08250825082508251,0.3218321832183218,0.70491775
264,-27000,22500,0.3786378637863786,0.20042004200420038,0.0902090209020902,0.3307330733073307,0.740646443
265,-22500,22500,0.3599,0.1962,0.102,0.3419,0.776246297
266,-18000,22500,0.3417,0.18969999999999998,0.1143,0.3543,0.809683677
267,-13500,22500,0.3304330433043305,0.18811881188118815,0.13241324132413243,0.3490349034903491,0.843327043
268,-9000,22500,0.3134313431343134,0.18031803180318032,0.1542154215421542,0.35203520352035206,0.876586707
269,-4500,22500,0.29397060293970606,0.16928307169283072,0.16928307169283072,0.36746325367463256,0.906101407
270,0,22500,0.2716728327167284,0.15488451154884514,0.19948005199480054,0.37396260373962603,0.93237956
271,4500,22500,0.25670000000000004,0.1594,0.22,0.3639,0.954759283
272,9000,22500,0.2371,0.14859999999999998,0.24,0.3743,0.973248423
273,13500,22500,0.2227,0.1413,0.2704,0.36560000000000004,0.987742173
274,18000,22500,0.2115,0.1322,0.2924,0.3639,0.998936663
275,22500,22500,0.1918,0.1252,0.32170000000000004,0.3613,1.0059578
276,27000,22500,0.177,0.12300000000000001,0.34590000000000004,0.35409999999999997,1.0103495
277,31500,22500,0.17581758175817583,0.10831083108310834,0.3748374837483749,0.3410341034103411,1.011950133
278,36000,22500,0.16140000000000002,0.1076,0.40630000000000005,0.3247,1.0112703
279,40500,22500,0.149,0.0969,0.43810000000000004,0.316,1.025303833
280,-36000,27000,0.41119999999999995,0.1818,0.0702,0.3368,0.708025857
281,-31500,27000,0.396939693969397,0.17991799179917994,0.07850785078507852,0.3446344634463447,0.74149101
282,-27000,27000,0.38409999999999994,0.17629999999999998,0.08810000000000001,0.3515,0.776493097
283,-22500,27000,0.3601,0.17370000000000002,0.10490000000000001,0.3613,0.809902637
284,-18000,27000,0.35009999999999997,0.17010000000000003,0.1114,0.36840000000000006,0.842154947
