ID,x,y,Ag,Au,Pd,Pt,Rh,Resistance
138,-40500,-4500,0.4164,0.1189,0.0765,0.1092,0.27899999999999997,0.9910065066666668
139,-36000,-4500,0.3927392739273927,0.12821282128212821,0.0945094509450945,0.11171117111711171,0.27282728272827284,0.9896671866666666
140,-31500,-4500,0.3811,0.145,0.0967,0.11380000000000001,0.2634,0.98777578
141,-27000,-4500,0.3584,0.16149999999999995,0.11049999999999999,0.11369999999999998,0.25589999999999996,0.9844751033333332
142,-22500,-4500,0.33430000000000004,0.1831,0.12040000000000001,0.11170000000000002,0.25050000000000006,0.9801316866666666
143,-18000,-4500,0.31553155315531556,0.20552055205520553,0.13001300130013002,0.11191119111911191,0.23702370237023704,0.9744840966666666
144,-13500,-4500,0.29117088291170884,0.21927807219278073,0.14508549145085492,0.11128887111288872,0.23317668233176686,0.96639576
145,-9000,-4500,0.27130000000000004,0.24550000000000005,0.1531,0.10710000000000003,0.22300000000000003,0.9555437733333334
146,-4500,-4500,0.2525747425257474,0.2763723627637236,0.16938306169383063,0.1033896610338966,0.1982801719828017,0.9424780933333332
147,0,-4500,0.22510000000000002,0.2938,0.1821,0.1039,0.19510000000000002,0.9263356133333333
148,4500,-4500,0.20937906209379065,0.31466853314668536,0.19968003199680032,0.09939006099390062,0.17688231176882316,0.9073818933333332
149,9000,-4500,0.18868113188681132,0.34456554344565543,0.2086791320867913,0.09039096090390959,0.1676832316768323,0.8858485500000001
150,13500,-4500,0.17851785178517854,0.3591359135913591,0.21792179217921792,0.08890889088908892,0.15551555155515553,0.8623568633333334
151,18000,-4500,0.1536,0.3801,0.2409,0.0808,0.1446,0.8368046366666667
152,22500,-4500,0.1466,0.40020000000000006,0.2511,0.0733,0.1288,0.8099529366666667
153,27000,-4500,0.1325,0.4120000000000001,0.27240000000000003,0.07070000000000001,0.11240000000000001,0.7823719966666667
154,31500,-4500,0.1215878412158784,0.4392560743925607,0.2752724727527247,0.0648935106489351,0.098990100989901,0.7541927
155,36000,-4500,0.1026,0.4581,0.2939,0.056600000000000004,0.0888,0.7260334133333333
156,40500,-4500,0.0958,0.4586,0.30219999999999997,0.0513,0.09210000000000002,0.6985034566666666
157,45000,-4500,0.0955,0.47479999999999994,0.3034,0.04769999999999999,0.0786,0.68162455
158,-45000,0,0.44409999999999994,0.10189999999999999,0.068,0.1175,0.2685,0.98489204
159,-40500,0,0.42460000000000003,0.1143,0.0696,0.1209,0.2706,0.9825554833333332
160,-36000,0,0.40175982401759824,0.1265873412658734,0.08739126087391261,0.1254874512548745,0.2587741225877412,0.9810581366666666
161,-31500,0,0.3814,0.1419,0.1016,0.12359999999999999,0.2515,0.97844064
162,-27000,0,0.3506,0.15789999999999998,0.1161,0.12890000000000001,0.2465,0.97484243
163,-22500,0,0.3385,0.179,0.1229,0.1261,0.2335,0.9699225366666668
164,-18000,0,0.3145,0.196,0.1406,0.122,0.22690000000000002,0.9635950633333332
165,-13500,0,0.2977702229777023,0.22337766223377664,0.14988501149885014,0.12268773122687732,0.20627937206279373,0.95505214
166,-9000,0,0.2746,0.2425,0.1624,0.1197,0.20079999999999998,0.9433973433333332
167,-4500,0,0.253974602539746,0.2681731826817318,0.1758824117588241,0.116988301169883,0.18498150184981502,0.9296174366666666
168,0,0,0.22837716228377164,0.284071592840716,0.19848015198480154,0.11588841115888412,0.17318268173182683,0.91279089
169,4500,0,0.2138,0.30579999999999996,0.20629999999999998,0.1054,0.16870000000000002,0.8935735233333334
170,9000,0,0.19161916191619163,0.3217321732173218,0.22282228222822284,0.10221022102210223,0.16161616161616163,0.8721734566666667
171,13500,0,0.17040000000000002,0.35800000000000004,0.23640000000000003,0.09820000000000002,0.137,0.8487036366666667
172,18000,0,0.16149999999999998,0.36619999999999997,0.2507,0.0908,0.1308,0.8235003
173,22500,0,0.13551355135513551,0.38453845384538454,0.2683268326832683,0.08870887088708869,0.1229122912291229,0.79742488
